saldo_cuenta(millones),duracion_prestamo_meses,historial_crediticio,proposito,monto(millones),saldo_ahorros(millones),antiguedad_empleo,tasa_cuotas,estado_personal,otros_deudores,historial_residencia,propiedad,edad,plan_cuotas,vivienda,creditos_existentes,trabajo,dependientes,telefono,trabajador_extranjero,incumplimiento
1M - 10M,24,pagado,coche (nuevo),3512,1M - 10M,4 - 7 años,2,hombre soltero,ninguno,3,otro,38,banco,propia,2,empleado calificado,1,sí,sí,0
desconocido,6,crítico,radio/televisión,1898,desconocido,1 - 4 años,1,hombre soltero,ninguno,2,bienes raíces,34,ninguno,propia,2,residente no calificado,2,ninguno,sí,0
desconocido,24,crítico,radio/televisión,2872,1M - 10M,> 7 años,3,hombre soltero,ninguno,4,bienes raíces,36,ninguno,propia,1,empleado calificado,2,sí,sí,0
desconocido,18,crítico,coche (nuevo),1055,< 1M,0 - 1 año,4,mujer,ninguno,1,sociedad de ahorros y préstamos,30,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,15,pagado,electrodomésticos domésticos,1262,10M - 100M,4 - 7 años,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,36,ninguno,propia,2,empleado calificado,1,sí,sí,0
1M - 10M,10,pagado,coche (nuevo),7308,< 1M,desempleado,2,hombre soltero,ninguno,4,desconocido/nada,70,banco,gratuita,1,autónomo gerente,1,sí,sí,0
desconocido,36,pagado,coche (nuevo),909,10M - 100M,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,36,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,6,pagado,muebles,2978,10M - 100M,1 - 4 años,1,hombre soltero,ninguno,2,otro,32,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,18,pagado,muebles,1131,< 1M,desempleado,4,mujer,ninguno,2,otro,33,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,11,pagado,muebles,1577,> 100M,0 - 1 año,4,mujer,ninguno,1,bienes raíces,20,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,24,pagado,muebles,3972,< 1M,4 - 7 años,2,mujer,ninguno,4,sociedad de ahorros y préstamos,25,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
1M - 10M,24,crítico,negocios,1935,< 1M,> 7 años,4,hombre divorciado,ninguno,4,bienes raíces,31,ninguno,propia,2,empleado calificado,1,sí,sí,1
< 1M,15,totalmente pagado,coche (nuevo),950,< 1M,> 7 años,4,hombre soltero,ninguno,3,otro,33,ninguno,alquilada,2,empleado calificado,2,ninguno,sí,1
desconocido,12,pagado,muebles,763,< 1M,1 - 4 años,4,mujer,ninguno,1,bienes raíces,26,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,24,retrasado,muebles,2064,< 1M,desempleado,3,mujer,ninguno,2,sociedad de ahorros y préstamos,34,ninguno,propia,1,autónomo gerente,1,sí,sí,1
1M - 10M,8,pagado,radio/televisión,1414,< 1M,1 - 4 años,4,hombre soltero,aval,2,bienes raíces,33,ninguno,propia,1,empleado calificado,1,ninguno,no,0
< 1M,21,retrasado,educación,3414,< 1M,0 - 1 año,2,hombre soltero,ninguno,1,sociedad de ahorros y préstamos,26,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
desconocido,30,totalmente pagado en este banco,coche (usado),7485,desconocido,desempleado,4,mujer,ninguno,1,bienes raíces,53,banco,propia,1,autónomo gerente,1,sí,sí,1
< 1M,12,pagado,muebles,2577,< 1M,1 - 4 años,2,hombre divorciado,ninguno,1,otro,42,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,6,crítico,radio/televisión,338,10M - 100M,> 7 años,4,hombre soltero,ninguno,4,otro,52,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,12,pagado,radio/televisión,1963,< 1M,4 - 7 años,4,hombre soltero,ninguno,2,otro,31,ninguno,alquilada,2,autónomo gerente,2,sí,sí,0
< 1M,21,crítico,coche (nuevo),571,< 1M,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,65,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,36,retrasado,negocios,9572,< 1M,0 - 1 año,1,hombre divorciado,ninguno,1,otro,28,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
1M - 10M,36,retrasado,negocios,4455,< 1M,1 - 4 años,2,hombre divorciado,ninguno,2,bienes raíces,30,tiendas,propia,2,autónomo gerente,1,sí,sí,1
< 1M,21,totalmente pagado en este banco,coche (nuevo),1647,desconocido,1 - 4 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,40,ninguno,propia,2,residente no calificado,2,ninguno,sí,1
desconocido,24,crítico,muebles,3777,> 100M,1 - 4 años,4,hombre soltero,ninguno,4,bienes raíces,50,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,18,crítico,coche (nuevo),884,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,36,banco,propia,1,empleado calificado,2,sí,sí,1
desconocido,15,crítico,radio/televisión,1360,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,31,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,9,totalmente pagado en este banco,coche (usado),5129,< 1M,> 7 años,2,mujer,ninguno,4,desconocido/nada,74,banco,gratuita,1,autónomo gerente,2,sí,sí,1
1M - 10M,16,crítico,coche (nuevo),1175,< 1M,desempleado,2,hombre soltero,ninguno,3,otro,68,ninguno,gratuita,3,desempleado no residente,1,sí,sí,0
< 1M,12,pagado,radio/televisión,674,1M - 10M,4 - 7 años,4,hombre casado,ninguno,1,sociedad de ahorros y préstamos,20,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,18,totalmente pagado,muebles,3244,< 1M,1 - 4 años,1,mujer,ninguno,4,otro,33,banco,propia,2,empleado calificado,1,sí,sí,0
desconocido,24,pagado,negocios,4591,> 100M,1 - 4 años,2,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,54,ninguno,propia,3,autónomo gerente,1,sí,sí,1
1M - 10M,48,totalmente pagado,negocios,3844,1M - 10M,4 - 7 años,4,hombre soltero,ninguno,4,desconocido/nada,34,ninguno,gratuita,1,residente no calificado,2,ninguno,sí,1
1M - 10M,27,pagado,negocios,3915,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,otro,36,ninguno,propia,1,empleado calificado,2,sí,sí,1
desconocido,6,pagado,radio/televisión,2108,< 1M,4 - 7 años,2,hombre casado,ninguno,2,bienes raíces,29,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
1M - 10M,45,pagado,radio/televisión,3031,1M - 10M,1 - 4 años,4,hombre soltero,aval,4,sociedad de ahorros y préstamos,21,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
1M - 10M,9,crítico,educación,1501,< 1M,> 7 años,2,mujer,ninguno,3,otro,34,ninguno,propia,2,autónomo gerente,1,sí,sí,1
desconocido,6,crítico,radio/televisión,1382,< 1M,1 - 4 años,1,mujer,ninguno,1,otro,28,ninguno,propia,2,empleado calificado,1,sí,sí,0
1M - 10M,12,pagado,muebles,951,1M - 10M,0 - 1 año,4,mujer,ninguno,4,otro,27,banco,alquilada,4,empleado calificado,1,ninguno,sí,1
1M - 10M,24,pagado,coche (usado),2760,desconocido,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,36,banco,gratuita,1,empleado calificado,1,sí,sí,0
1M - 10M,18,retrasado,muebles,4297,< 1M,> 7 años,4,hombre divorciado,ninguno,3,desconocido/nada,40,ninguno,propia,1,autónomo gerente,1,sí,sí,1
desconocido,9,crítico,educación,936,10M - 100M,> 7 años,4,hombre soltero,ninguno,2,otro,52,ninguno,propia,2,empleado calificado,1,sí,sí,0
< 1M,12,pagado,coche (nuevo),1168,< 1M,1 - 4 años,4,hombre casado,ninguno,3,bienes raíces,27,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
desconocido,27,retrasado,negocios,5117,< 1M,4 - 7 años,3,hombre soltero,ninguno,4,otro,26,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
< 1M,12,pagado,reentrenamiento,902,< 1M,4 - 7 años,4,hombre casado,ninguno,4,sociedad de ahorros y préstamos,21,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
desconocido,12,crítico,coche (nuevo),1495,< 1M,> 7 años,4,hombre soltero,ninguno,1,bienes raíces,38,ninguno,propia,2,residente no calificado,2,ninguno,sí,0
< 1M,30,crítico,coche (usado),10623,< 1M,> 7 años,3,hombre soltero,ninguno,4,desconocido/nada,38,ninguno,gratuita,3,autónomo gerente,2,sí,sí,0
desconocido,12,crítico,muebles,1935,< 1M,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,43,ninguno,propia,3,empleado calificado,1,sí,sí,0
1M - 10M,12,crítico,electrodomésticos domésticos,1424,< 1M,4 - 7 años,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,26,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,24,pagado,negocios,6568,< 1M,1 - 4 años,2,hombre casado,ninguno,2,otro,21,tiendas,propia,1,residente no calificado,1,ninguno,sí,0
desconocido,12,pagado,coche (usado),1413,> 100M,4 - 7 años,3,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,55,ninguno,propia,1,empleado calificado,1,ninguno,no,0
desconocido,9,crítico,radio/televisión,3074,desconocido,1 - 4 años,1,hombre soltero,ninguno,2,bienes raíces,33,ninguno,propia,2,empleado calificado,2,ninguno,sí,0
desconocido,36,pagado,radio/televisión,3835,desconocido,> 7 años,2,mujer,ninguno,4,bienes raíces,45,ninguno,propia,1,residente no calificado,1,sí,sí,0
< 1M,27,totalmente pagado,negocios,5293,< 1M,desempleado,2,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,50,tiendas,propia,2,empleado calificado,1,sí,sí,1
> 10M,30,retrasado,negocios,1908,< 1M,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,66,ninguno,propia,1,autónomo gerente,1,sí,sí,1
desconocido,36,crítico,radio/televisión,3342,desconocido,> 7 años,4,hombre soltero,ninguno,2,otro,51,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,6,crítico,reentrenamiento,932,desconocido,4 - 7 años,1,mujer,ninguno,3,sociedad de ahorros y préstamos,39,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
< 1M,18,totalmente pagado,negocios,3104,< 1M,4 - 7 años,3,hombre soltero,ninguno,1,sociedad de ahorros y préstamos,31,banco,propia,1,empleado calificado,1,sí,sí,0
> 10M,36,pagado,radio/televisión,3913,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,bienes raíces,23,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,24,pagado,muebles,3021,< 1M,1 - 4 años,2,hombre divorciado,ninguno,2,bienes raíces,24,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,0
desconocido,10,pagado,coche (nuevo),1364,< 1M,1 - 4 años,2,mujer,ninguno,4,otro,64,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,12,pagado,radio/televisión,625,< 1M,0 - 1 año,4,hombre casado,aval,1,bienes raíces,26,banco,propia,1,residente no calificado,1,ninguno,sí,0
< 1M,12,pagado,educación,1200,desconocido,1 - 4 años,4,mujer,ninguno,4,sociedad de ahorros y préstamos,23,banco,alquilada,1,empleado calificado,1,sí,sí,0
desconocido,12,pagado,radio/televisión,707,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,bienes raíces,30,banco,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,24,retrasado,negocios,2978,desconocido,1 - 4 años,4,hombre soltero,ninguno,4,bienes raíces,32,ninguno,propia,2,empleado calificado,2,sí,sí,0
desconocido,15,pagado,coche (usado),4657,< 1M,1 - 4 años,3,hombre soltero,ninguno,2,otro,30,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,36,totalmente pagado,reparaciones,2613,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,otro,27,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,48,pagado,radio/televisión,10961,> 100M,4 - 7 años,1,hombre soltero,co-solicitante,2,desconocido/nada,27,banco,propia,2,empleado calificado,1,sí,sí,1
< 1M,12,pagado,muebles,7865,< 1M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,53,ninguno,gratuita,1,autónomo gerente,1,sí,sí,1
desconocido,9,pagado,radio/televisión,1478,< 1M,4 - 7 años,4,hombre soltero,ninguno,2,otro,22,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
< 1M,24,pagado,muebles,3149,< 1M,0 - 1 año,4,hombre soltero,ninguno,1,desconocido/nada,22,banco,gratuita,1,empleado calificado,1,ninguno,sí,0
> 10M,36,pagado,radio/televisión,4210,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,otro,26,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,9,pagado,coche (nuevo),2507,10M - 100M,> 7 años,2,hombre soltero,ninguno,4,desconocido/nada,51,ninguno,gratuita,1,residente no calificado,1,ninguno,sí,0
desconocido,12,pagado,radio/televisión,2141,1M - 10M,4 - 7 años,3,hombre soltero,ninguno,1,desconocido/nada,35,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,18,pagado,radio/televisión,866,< 1M,1 - 4 años,4,hombre casado,aval,2,bienes raíces,25,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
desconocido,4,crítico,radio/televisión,1544,< 1M,4 - 7 años,2,hombre soltero,ninguno,1,bienes raíces,42,ninguno,propia,3,residente no calificado,2,ninguno,sí,0
< 1M,24,pagado,radio/televisión,1823,< 1M,desempleado,4,hombre soltero,ninguno,2,otro,30,tiendas,propia,1,autónomo gerente,2,ninguno,sí,1
1M - 10M,6,pagado,coche (nuevo),14555,desconocido,desempleado,1,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,23,ninguno,propia,1,desempleado no residente,1,sí,sí,1
1M - 10M,21,pagado,negocios,2767,1M - 10M,> 7 años,4,hombre divorciado,ninguno,2,otro,61,banco,alquilada,2,residente no calificado,1,ninguno,sí,1
desconocido,12,crítico,radio/televisión,1291,< 1M,1 - 4 años,4,mujer,ninguno,2,sociedad de ahorros y préstamos,35,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
< 1M,30,pagado,radio/televisión,2522,< 1M,> 7 años,1,hombre soltero,aval,3,sociedad de ahorros y préstamos,39,ninguno,propia,1,empleado calificado,2,ninguno,sí,0
< 1M,24,pagado,coche (nuevo),915,desconocido,> 7 años,4,mujer,ninguno,2,otro,29,banco,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,6,pagado,radio/televisión,1595,< 1M,4 - 7 años,3,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,51,ninguno,propia,1,empleado calificado,2,ninguno,sí,0
< 1M,48,totalmente pagado,coche (usado),4605,< 1M,> 7 años,3,hombre soltero,ninguno,4,desconocido/nada,24,ninguno,gratuita,2,empleado calificado,2,ninguno,sí,1
desconocido,12,crítico,negocios,1185,< 1M,1 - 4 años,3,mujer,ninguno,2,bienes raíces,27,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,12,totalmente pagado en este banco,reentrenamiento,3447,10M - 100M,1 - 4 años,4,mujer,ninguno,3,bienes raíces,35,ninguno,propia,1,residente no calificado,2,ninguno,sí,0
desconocido,24,pagado,negocios,1258,< 1M,4 - 7 años,4,hombre soltero,ninguno,1,bienes raíces,25,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,12,crítico,radio/televisión,717,< 1M,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,52,ninguno,propia,3,empleado calificado,1,ninguno,sí,0
desconocido,6,totalmente pagado,coche (nuevo),1204,1M - 10M,1 - 4 años,4,hombre soltero,ninguno,1,desconocido/nada,35,banco,alquilada,1,empleado calificado,1,ninguno,no,0
> 10M,24,pagado,muebles,1925,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,bienes raíces,26,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,18,pagado,radio/televisión,433,< 1M,desempleado,3,mujer,co-solicitante,4,bienes raíces,22,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
< 1M,6,crítico,coche (nuevo),666,> 100M,4 - 7 años,3,mujer,ninguno,4,bienes raíces,39,ninguno,propia,2,residente no calificado,1,sí,sí,0
> 10M,12,pagado,muebles,2251,< 1M,1 - 4 años,1,mujer,ninguno,2,otro,46,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,30,pagado,coche (nuevo),2150,< 1M,1 - 4 años,4,mujer,aval,2,desconocido/nada,24,banco,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,24,retrasado,muebles,4151,1M - 10M,1 - 4 años,2,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,35,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,9,pagado,muebles,2030,desconocido,4 - 7 años,2,hombre soltero,ninguno,1,otro,24,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,60,retrasado,radio/televisión,7418,desconocido,1 - 4 años,1,hombre soltero,ninguno,1,bienes raíces,27,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
desconocido,24,crítico,radio/televisión,2684,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,bienes raíces,35,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
< 1M,12,totalmente pagado en este banco,radio/televisión,2149,< 1M,1 - 4 años,4,hombre divorciado,ninguno,1,desconocido/nada,29,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,1
desconocido,15,pagado,coche (usado),3812,1M - 10M,0 - 1 año,1,mujer,ninguno,4,otro,23,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,11,crítico,radio/televisión,1154,1M - 10M,desempleado,4,mujer,ninguno,4,bienes raíces,57,ninguno,propia,3,residente no calificado,1,ninguno,sí,0
< 1M,12,pagado,muebles,1657,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,bienes raíces,27,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,24,pagado,radio/televisión,1603,< 1M,> 7 años,4,mujer,ninguno,4,otro,55,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,18,crítico,coche (nuevo),5302,< 1M,> 7 años,2,hombre soltero,ninguno,4,desconocido/nada,36,ninguno,gratuita,3,autónomo gerente,1,sí,sí,0
desconocido,12,crítico,educación,2748,< 1M,> 7 años,2,mujer,ninguno,4,desconocido/nada,57,banco,gratuita,3,residente no calificado,1,ninguno,sí,0
desconocido,10,crítico,coche (nuevo),1231,< 1M,> 7 años,3,hombre soltero,ninguno,4,bienes raíces,32,ninguno,propia,2,residente no calificado,2,ninguno,no,0
1M - 10M,15,pagado,radio/televisión,802,< 1M,> 7 años,4,hombre soltero,ninguno,3,otro,37,ninguno,propia,1,empleado calificado,2,ninguno,sí,1
desconocido,36,crítico,negocios,6304,desconocido,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,36,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,24,pagado,radio/televisión,1533,< 1M,0 - 1 año,4,mujer,ninguno,3,otro,38,tiendas,propia,1,empleado calificado,1,sí,sí,0
< 1M,14,pagado,coche (nuevo),8978,< 1M,> 7 años,1,hombre divorciado,ninguno,4,sociedad de ahorros y préstamos,45,ninguno,propia,1,autónomo gerente,1,sí,no,1
desconocido,24,pagado,radio/televisión,999,desconocido,> 7 años,4,hombre soltero,ninguno,2,otro,25,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,18,pagado,coche (nuevo),2662,desconocido,4 - 7 años,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,32,ninguno,propia,1,empleado calificado,1,ninguno,no,0
desconocido,12,crítico,muebles,1402,10M - 100M,4 - 7 años,3,mujer,ninguno,4,otro,37,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
1M - 10M,48,totalmente pagado en este banco,coche (nuevo),12169,desconocido,desempleado,4,hombre soltero,co-solicitante,4,desconocido/nada,36,ninguno,gratuita,1,autónomo gerente,1,sí,sí,0
1M - 10M,48,pagado,radio/televisión,3060,< 1M,4 - 7 años,4,hombre soltero,ninguno,4,bienes raíces,28,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
< 1M,30,pagado,reparaciones,11998,< 1M,0 - 1 año,1,hombre divorciado,ninguno,1,desconocido/nada,34,ninguno,propia,1,residente no calificado,1,sí,sí,1
desconocido,9,pagado,radio/televisión,2697,< 1M,1 - 4 años,1,hombre soltero,ninguno,2,bienes raíces,32,ninguno,propia,1,empleado calificado,2,ninguno,sí,0
desconocido,18,crítico,radio/televisión,2404,< 1M,1 - 4 años,2,mujer,ninguno,2,otro,26,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
< 1M,12,pagado,muebles,1262,desconocido,> 7 años,2,hombre divorciado,ninguno,4,sociedad de ahorros y préstamos,49,ninguno,propia,1,residente no calificado,1,sí,sí,0
desconocido,6,pagado,muebles,4611,< 1M,0 - 1 año,1,mujer,ninguno,4,sociedad de ahorros y préstamos,32,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,24,pagado,radio/televisión,1901,1M - 10M,1 - 4 años,4,hombre soltero,ninguno,4,otro,29,ninguno,alquilada,1,autónomo gerente,1,sí,sí,0
desconocido,15,crítico,coche (usado),3368,> 100M,> 7 años,3,hombre soltero,ninguno,4,desconocido/nada,23,ninguno,alquilada,2,empleado calificado,1,sí,sí,0
desconocido,12,pagado,muebles,1574,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,bienes raíces,50,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
> 10M,18,totalmente pagado en este banco,radio/televisión,1445,desconocido,4 - 7 años,4,hombre soltero,ninguno,4,otro,49,banco,propia,1,residente no calificado,1,ninguno,sí,0
desconocido,15,crítico,muebles,1520,desconocido,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,63,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,24,crítico,coche (nuevo),3878,1M - 10M,0 - 1 año,4,hombre divorciado,ninguno,2,otro,37,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,47,pagado,coche (nuevo),10722,< 1M,0 - 1 año,1,mujer,ninguno,1,bienes raíces,35,ninguno,propia,1,residente no calificado,1,sí,sí,0
< 1M,48,pagado,coche (usado),4788,< 1M,4 - 7 años,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,26,ninguno,propia,1,empleado calificado,2,ninguno,sí,0
1M - 10M,48,retrasado,otros,7582,1M - 10M,desempleado,2,hombre soltero,ninguno,4,desconocido/nada,31,ninguno,gratuita,1,autónomo gerente,1,sí,sí,0
1M - 10M,12,pagado,radio/televisión,1092,< 1M,1 - 4 años,4,mujer,aval,4,bienes raíces,49,ninguno,propia,2,empleado calificado,1,sí,sí,0
< 1M,24,retrasado,radio/televisión,1024,< 1M,0 - 1 año,4,hombre casado,ninguno,4,bienes raíces,48,tiendas,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,12,pagado,negocios,1076,< 1M,1 - 4 años,2,hombre casado,ninguno,2,bienes raíces,26,ninguno,propia,1,empleado calificado,1,sí,no,0
1M - 10M,36,pagado,coche (usado),9398,< 1M,0 - 1 año,1,hombre casado,ninguno,4,otro,28,ninguno,alquilada,1,autónomo gerente,1,sí,sí,1
< 1M,24,crítico,coche (usado),6419,< 1M,> 7 años,2,mujer,ninguno,4,desconocido/nada,44,ninguno,gratuita,2,autónomo gerente,2,sí,sí,0
> 10M,42,crítico,coche (usado),4796,< 1M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,56,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,0
desconocido,48,crítico,negocios,7629,desconocido,> 7 años,4,hombre divorciado,ninguno,2,otro,46,banco,propia,2,autónomo gerente,2,ninguno,sí,0
1M - 10M,48,pagado,muebles,9960,< 1M,0 - 1 año,1,mujer,ninguno,2,otro,26,ninguno,propia,1,empleado calificado,1,sí,sí,1
desconocido,12,pagado,coche (usado),4675,desconocido,0 - 1 año,1,mujer,ninguno,4,otro,20,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
desconocido,10,pagado,coche (nuevo),1287,desconocido,> 7 años,4,hombre soltero,co-solicitante,2,sociedad de ahorros y préstamos,45,ninguno,propia,1,residente no calificado,1,ninguno,no,0
desconocido,18,pagado,muebles,2515,< 1M,1 - 4 años,3,hombre soltero,ninguno,4,bienes raíces,43,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,21,crítico,muebles,2745,> 100M,4 - 7 años,3,hombre soltero,ninguno,2,otro,32,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,6,pagado,coche (nuevo),672,< 1M,desempleado,1,mujer,ninguno,4,bienes raíces,54,ninguno,propia,1,desempleado no residente,1,sí,sí,0
1M - 10M,36,totalmente pagado,radio/televisión,3804,< 1M,1 - 4 años,4,mujer,ninguno,1,otro,42,ninguno,propia,1,empleado calificado,1,sí,sí,1
> 10M,24,crítico,coche (nuevo),1344,desconocido,4 - 7 años,4,hombre soltero,ninguno,2,bienes raíces,37,banco,propia,2,residente no calificado,2,ninguno,sí,1
< 1M,10,crítico,coche (nuevo),1038,< 1M,4 - 7 años,4,hombre soltero,co-solicitante,3,sociedad de ahorros y préstamos,49,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,48,crítico,coche (nuevo),10127,10M - 100M,1 - 4 años,2,hombre soltero,ninguno,2,desconocido/nada,44,banco,gratuita,1,empleado calificado,1,ninguno,sí,1
desconocido,6,pagado,muebles,1543,> 100M,1 - 4 años,4,hombre divorciado,ninguno,2,bienes raíces,33,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,30,pagado,coche (usado),4811,desconocido,4 - 7 años,2,mujer,ninguno,4,sociedad de ahorros y préstamos,24,tiendas,alquilada,1,residente no calificado,1,ninguno,sí,0
< 1M,12,pagado,radio/televisión,727,1M - 10M,0 - 1 año,4,hombre casado,ninguno,3,desconocido/nada,33,ninguno,propia,1,residente no calificado,1,sí,sí,1
1M - 10M,8,pagado,muebles,1237,< 1M,1 - 4 años,3,mujer,ninguno,4,bienes raíces,24,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,9,pagado,coche (nuevo),276,< 1M,1 - 4 años,4,hombre casado,ninguno,4,bienes raíces,22,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,0
1M - 10M,48,pagado,otros,5381,desconocido,desempleado,3,hombre soltero,ninguno,4,desconocido/nada,40,banco,gratuita,1,desempleado no residente,1,sí,sí,0
desconocido,24,pagado,muebles,5511,1M - 10M,1 - 4 años,4,hombre soltero,ninguno,1,otro,25,tiendas,propia,1,empleado calificado,1,ninguno,sí,0
> 10M,24,pagado,muebles,3749,< 1M,0 - 1 año,2,mujer,ninguno,4,otro,26,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,12,pagado,coche (nuevo),685,< 1M,4 - 7 años,2,hombre casado,ninguno,3,otro,25,banco,propia,1,residente no calificado,1,ninguno,sí,1
> 10M,4,pagado,coche (nuevo),1494,desconocido,0 - 1 año,1,hombre soltero,ninguno,2,bienes raíces,29,ninguno,propia,1,residente no calificado,2,ninguno,no,0
< 1M,36,totalmente pagado en este banco,muebles,2746,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,31,banco,propia,1,empleado calificado,1,ninguno,sí,1
< 1M,12,pagado,muebles,708,< 1M,1 - 4 años,2,hombre soltero,aval,3,sociedad de ahorros y préstamos,38,ninguno,propia,1,residente no calificado,2,ninguno,sí,0
